btr_id,name,exchange,ticker,country
00001,3i Group,LSE,III,GB
00011,3M Company,NYSE,MMM,US
00021,A. O. Smith,NYSE,AOS,US
00031,A.P. Moller-Maersk,CPH,MAERSK-B,DK
00041,ABB Group,SWX,ABB,CH
00051,Abbott Laboratories,NYSE,ABT,US
00061,AbbVie,NYSE,ABBV,US
00071,Abertis Infraestructuras,BME,ABE,ES
00081,Accenture,NYSE,ACN,IE
00091,Accor,EURONEXT,AC,FR
00101,Actelion,SWX,ATLN,CH
00111,Adecco,SWX,ADEN,CH
00121,Adidas,FWB,ADS,DE
00131,Admiral,LSE,ADM,GB
00141,Adobe,NASDAQ,ADBE,US
00151,Advanced Micro Devices,NASDAQ,AMD,US
00161,Advantest,TSE,6857,JP
00171,Adyen,EURONEXT,ADYEN,NL
00181,AECC Aviation Power,SHSE,600893,CN
00191,Aegon,EURONEXT,AGN,NL
00201,Aena,BME,AENA,ES
00211,Aeon,TSE,8267,JP
00221,Aercap Holdings,NYSE,AER,IE
00231,AES Corporation,NYSE,AES,US
00241,Aflac,NYSE,AFL,US
00251,AGC Group,TSE,5201,JP
00261,Ageas,EBR,AGS,BE
00271,Agilent Technologies,NYSE,A,US
00281,Agnico Eagle Mines,TSX,AEM,CA
00291,Agricultural Bank of China,HKEX,1288,CN
00301,Ahold,EURONEXT,AH,NL
00311,Ahold Delhaize,EURONEXT,AD,NL
00321,AIA Group,HKEX,1299,HK
00331,AIB Group,ISE,AIBG,IE
00341,Air Liquide,EURONEXT,AI,FR
00351,Air Products & Chemicals,NYSE,APD,US
00361,Airbnb,NASDAQ,ABNB,US
00371,Airbus,EURONEXT,AIR,NL
00381,Ajinomoto,TSE,2802,JP
00391,Akamai Technologies,NASDAQ,AKAM,US
00401,Akzo Nobel,EURONEXT,AKZA,NL
00411,Albemarle Corporation,NYSE,ALB,US
00421,Alcon,SWX,ALC,CH
00431,Alexandria Real Estate Equities,NYSE,ARE,US
00441,Alibaba,NYSE,BABA,CN
00451,Alibaba Health,HKEX,0241,HK
00461,Align Technology,NASDAQ,ALGN,US
00471,Alimentation Couche-Tard,TSX,ATD,CA
00481,Allegion,NYSE,ALLE,US
00491,Alliant Energy,NASDAQ,LNT,US
00501,Allianz,XETRA,ALV,DE
00511,Allstate,NYSE,ALL,US
00521,Alnylam Pharmaceuticals,NASDAQ,ALNY,US
00531,Alphabet,NASDAQ,GOOGL,US
00541,Alps Electric,TSE,6770,JP
00551,Altice,EURONEXT,ATC,NL
00561,Altria,NYSE,MO,US
00571,Amada,TSE,6113,JP
00581,Amadeus IT Holding,BME,AMS,ES
00591,Amazon,NASDAQ,AMZN,US
00601,Amcor,ASX,AMCR,AU
00611,Ameren Corporation,NYSE,AEE,US
00621,American Electric Power,NASDAQ,AEP,US
00631,American Express,NYSE,AXP,US
00641,American International,NYSE,AIG,US
00651,American Tower,NYSE,AMT,US
00661,American Water Works,NYSE,AWK,US
00671,Ameriprise Financial,NYSE,AMP,US
00681,Ametek,NYSE,AME,US
00691,Amgen,NASDAQ,AMGN,US
00701,Amorepacific,KRX,090430,KR
00711,Amphenol,NYSE,APH,US
00721,ANA Group,TSE,9202,JP
00731,Analog Devices,NASDAQ,ADI,US
00741,Anglo American,LSE,AAL,GB
00751,Anheuser-Busch InBev,EBR,ABI,BE
00761,Ansys,NASDAQ,ANSS,US
00771,Anta Sports,HKEX,2020,HK
00781,ANZ Holdings,ASX,ANZ,AU
00791,Aon,NYSE,AON,IE
00801,Aozora Bank,TSE,8304,JP
00811,APA Corporation,NASDAQ,APA,US
00821,Apollo Global Management,NYSE,APO,US
00831,Apple,NASDAQ,AAPL,US
00841,Applied Materials,NASDAQ,AMAT,US
00851,AppLovin,NASDAQ,APP,US
00861,APR,KRX,035760,KR
00871,Aptiv,NYSE,APTV,IE
00881,ArcelorMittal,AMS,MT,LU
00891,Arch Capital,NASDAQ,ACGL,BM
00901,Archer-Daniels-Midland,NYSE,ADM,US
00911,Ares Management,NYSE,ARES,US
00921,argenx,EBR,ARGX,BE
00931,Arista Networks,NASDAQ,ANET,US
00941,Aristocrat Leisure,ASX,ALL,AU
00951,Arm,NASDAQ,ARM,GB
00961,Arthur J. Gallagher & Co.,NYSE,AJG,US
00971,Asahi,TSE,2502,JP
00981,Asahi Holdings,TSE,5857,JP
00991,Asahi Kasei,TSE,3407,JP
01001,Ashtead,LSE,AHT,GB
01011,Asics,TSE,7936,JP
01021,ASM International,EURONEXT,ASM,NL
01031,ASML Holding,EURONEXT,ASML,NL
01041,Assa Abloy,STO,ASSA-B,SE
01051,Assicurazioni Generali,BIT,G,IT
01061,Associated British Foods,LSE,ABF,GB
01071,Assurant,NYSE,AIZ,US
01081,Astellas Pharma,TSE,4503,JP
01091,AstraZeneca,LSE,AZN,GB
01101,AT&T,NYSE,T,US
01111,Atlantia,BIT,ATL,IT
01121,Atlas Copco,STO,ATCO-A,SE
01131,Atlassian,NASDAQ,TEAM,AU
01141,Atmos Energy,NYSE,ATO,US
01151,Atos,EURONEXT,ATO,FR
01161,Autodesk,NASDAQ,ADSK,US
01171,Automatic Data Processing,NASDAQ,ADP,US
01181,AutoZone,NYSE,AZO,US
01191,AvalonBay Communities,NYSE,AVB,US
01201,Avery Dennison,NYSE,AVY,US
01211,Aviva,LSE,AV,GB
01221,AXA,EURONEXT,CS,FR
01231,Axon Enterprise,NASDAQ,AXON,US
01241,BAE Systems,LSE,BA,GB
01251,Baidu,NASDAQ,BIDU,CN
01261,Baker Hughes,NASDAQ,BKR,US
01271,Ball Corporation,NYSE,BLL,US
01281,Baloise,SWX,BALN,CH
01291,Banco Sabadell,BME,SAB,ES
01301,Banco Santander,BME,SAN,ES
01311,Bandai Namco Holdings,TSE,7832,JP
01321,Bank Hapoalim,TASE,POLI,IL
01331,Bank Leumi Le-Israel,TASE,LUMI,IL
01341,Bank of Montreal,TSX,BMO,CA
01351,Bank of New York Mellon,NYSE,BK,US
01361,Bank of Nova Scotia,TSX,BNS,CA
01371,Bank of America,NYSE,BAC,US
01381,Bank of China,HKEX,3988,CN
01391,Bank of Ireland,ISE,BIRG,IE
01401,Barclays,LSE,BARC,GB
01411,Barratt Developments,LSE,BDEV,GB
01421,Barrick Gold,TSX,GOLD,CA
01431,BASF,XETRA,BAS,DE
01441,Baxter International,NYSE,BAX,US
01451,Bayer,XETRA,BAYN,DE
01461,BBVA,BME,BBVA,ES
01471,Banco Bilbao Vizcaya Argentaria,BME,BBVA,ES
01481,Becton Dickinson,NYSE,BDX,US
01491,Beiersdorf,XETRA,BEI,DE
01501,Beijing Kingsoft Office Software,SSE,688111,CN
01511,Berkeley Group Holdings,LSE,BKG,GB
01521,Berkshire Hathaway,NYSE,BRK-B,US
01531,Best Buy,NYSE,BBY,US
01541,BGF Retail,KRX,282330,KR
01551,BHP,ASX,BHP,AU
01561,Bio-Techne,NASDAQ,TECH,US
01571,Biogen,NASDAQ,BIIB,US
01581,BlackRock,NYSE,BLK,US
01591,Blackstone,NYSE,BX,US
01601,Block,NYSE,SQ,US
01611,BMW,XETRA,BMW,DE
01621,BNK Financial,KRX,138930,KR
01631,BNP Paribas,EURONEXT,BNP,FR
01641,BNY Mellon,NYSE,BK,US
01651,BOC Hong Kong,HKEX,2388,HK
01661,Boeing,NYSE,BA,US
01671,Booking Holdings,NASDAQ,BKNG,US
01681,Boston Scientific,NYSE,BSX,US
01691,Bouygues,EURONEXT,EN,FR
01701,BP,LSE,BP,GB
01711,Brambles,ASX,BXB,AU
01721,Brenntag,XETRA,BNR,DE
01731,Bridgestone,TSE,5108,JP
01741,Bristol-Myers Squibb,NYSE,BMY,US
01751,British American Tobacco,LSE,BATS,GB
01761,British Land Company,LSE,BLND,GB
01771,Broadcom,NASDAQ,AVGO,US
01781,Broadridge Financial Solutions,NYSE,BR,US
01791,Brookfield,TSX,BN,CA
01801,Brookfield Asset Management,TSX,BAM,CA
01811,Brown & Brown,NYSE,BRO,US
01821,Brown–Forman,NYSE,BF-B,US
01831,BT Group,LSE,BT.A,GB
01841,Budweiser Brewing Company APAC,HKEX,1876,HK
01851,Builders FirstSource,NYSE,BLDR,US
01861,Bunge Global,NYSE,BG,US
01871,Bunzl,LSE,BNZL,GB
01881,Burberry,LSE,BRBY,GB
01891,Burlington Stores,NYSE,BURL,US
01901,BXP,NYSE,BXP,US
